Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
400,Collin Sexton,SG,24,UTA,27,10,24.5,4.9,9.9,0.493,0.9,2.6,0.362,4,7.4,0.538,0.539,3.6,4.4,0.831,0.8,1.6,2.4,3,0.6,0.1,1.8,2.3,14.3
401,Landry Shamet,SG,25,PHO,19,1,16.8,2.3,5.6,0.411,1.6,4.2,0.38,0.7,1.5,0.5,0.551,0.9,1.1,0.85,0.3,0.7,1,1.4,0.7,0.2,0.9,1.4,7.1
402,Day'Ron Sharpe,C,21,BRK,17,1,8.9,1.4,2.6,0.511,0.2,0.2,0.75,1.2,2.4,0.488,0.544,0.7,1,0.706,1.3,2.1,3.4,0.6,0.2,0.6,0.7,1.8,3.6
403,Shaedon Sharpe,SG,19,POR,27,5,20,3.4,7.1,0.477,0.9,2.6,0.338,2.5,4.5,0.557,0.539,0.6,0.9,0.6,0.8,1.9,2.6,0.5,0.4,0.2,0.7,1.5,8.3
404,Pascal Siakam,C,28,TOR,18,18,35.4,8.7,18.3,0.477,1.3,3.9,0.324,7.4,14.3,0.519,0.512,5.8,7.7,0.761,1.7,6.8,8.5,7,1,0.5,2.3,3.3,24.6
405,Ben Simmons,PG,26,BRK,19,14,27.4,3.7,6,0.614,0,0.1,0,3.7,5.9,0.619,0.614,0.9,1.7,0.545,0.9,5.7,6.7,5.8,1.3,0.6,2.4,3.6,8.3
406,Marko Simonovic,C,23,CHI,1,0,2,0,1,0,0,1,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0
407,Anfernee Simons,SG,23,POR,26,26,36.6,8.3,18.6,0.448,4,10.3,0.393,4.3,8.3,0.516,0.557,2.9,3.3,0.894,0.3,2.8,3.1,4.5,0.8,0.2,2.3,2.4,23.7
408,Jericho Sims,C,24,NYK,20,2,12.6,1.8,2.4,0.766,0,0,,1.8,2.4,0.766,0.766,0.4,0.5,0.8,1.8,2.4,4.2,0.4,0.3,0.8,0.4,1.8,4
409,Marcus Smart,PG,28,BOS,26,26,33.2,4.2,9.7,0.437,1.8,5.3,0.345,2.4,4.3,0.549,0.532,1.4,1.8,0.766,0.5,2.7,3.2,7.2,1.3,0.4,2.4,3,11.7
410,Dennis Smith Jr.,PG,25,CHO,15,11,27.9,4.1,8.9,0.463,0.7,2,0.333,3.5,6.9,0.5,0.5,0.4,0.8,0.5,0.6,2.7,3.3,5.7,1.8,0.7,1.5,2.3,9.3
411,Dru Smith,SG,25,MIA,5,1,13.4,1,2.8,0.357,0.2,1.2,0.167,0.8,1.6,0.5,0.393,0,0,,0.2,1.6,1.8,1,0.8,0.6,0.2,2,2.2
