Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
258,Anthony Lamb,SF,25,GSW,33,3,19.6,2.6,5.3,0.494,1.4,3.5,0.391,1.2,1.8,0.695,0.624,0.7,0.9,0.759,0.8,2.5,3.3,1.7,0.7,0.2,1.1,2.2,7.2
259,Jock Landale,C,27,PHO,36,2,14.8,2.5,4.8,0.52,0.3,1.4,0.235,2.2,3.4,0.639,0.555,1.4,1.7,0.823,1.6,2.4,4,0.9,0.3,0.6,0.9,1.8,6.8
260,Romeo Langford,SG,23,SAS,27,14,20.1,3.1,6.4,0.483,0.4,1.4,0.263,2.7,5,0.545,0.512,0.7,1,0.714,1.5,1.3,2.8,1.1,0.6,0.4,0.7,1.7,7.3
261,Jake LaRavia,PF,21,MEM,23,0,14.4,1.3,3.2,0.411,0.8,2.2,0.373,0.5,1,0.5,0.541,0.3,0.3,0.857,0.7,1.7,2.3,0.8,0.4,0.1,0.7,1.7,3.7
262,Zach LaVine,SG,27,CHI,38,38,35.5,8.5,18.2,0.47,3.1,7.8,0.399,5.4,10.3,0.523,0.556,3.6,4.4,0.831,0.6,3.8,4.4,4.2,1,0.2,2.5,2.3,23.8
263,A.J. Lawson,SG,22,TOT,6,0,1.7,0.2,0.7,0.25,0,0.5,0,0.2,0.2,1,0.25,0,0,,0,0.3,0.3,0,0,0,0,0.2,0.3
263,A.J. Lawson,SG,22,MIN,1,0,2,1,1,1,0,0,,1,1,1,1,0,0,,0,1,1,0,0,0,0,1,2
263,A.J. Lawson,SG,22,DAL,5,0,1.6,0,0.6,0,0,0.6,0,0,0,,0,0,0,,0,0.2,0.2,0,0,0,0,0,0
264,Damion Lee,SG,30,PHO,43,2,22.1,2.8,6.1,0.46,1.7,3.7,0.468,1.1,2.4,0.447,0.602,1.3,1.4,0.95,0.6,2.9,3.5,1.3,0.4,0.1,1,1.6,8.6
265,Saben Lee,PG,23,TOT,3,0,8.3,1.7,2.7,0.625,0,0.7,0,1.7,2,0.833,0.625,1.3,1.3,1,0,1,1,2,0.3,0,1.3,0.7,4.7
265,Saben Lee,PG,23,PHI,2,0,5,1.5,2,0.75,0,0.5,0,1.5,1.5,1,0.75,0,0,,0,0,0,1,0.5,0,1.5,0.5,3
265,Saben Lee,PG,23,PHO,1,0,15,2,4,0.5,0,1,0,2,3,0.667,0.5,4,4,1,0,3,3,4,0,0,1,1,8
266,Alex Len,C,29,SAC,10,1,4,0.5,1,0.5,0,0.1,0,0.5,0.9,0.556,0.5,0.3,0.4,0.75,0.3,1,1.3,0.3,0,0,0.3,0.7,1.3
267,Kawhi Leonard,SF,31,LAC,19,17,29.3,6.6,13.8,0.477,1.2,3.8,0.301,5.4,9.9,0.545,0.519,3.8,4.6,0.83,1.1,5.1,6.1,3.8,1.1,0.3,1.5,1.4,18.2
268,Caris LeVert,SG,28,CLE,38,20,31.2,4.6,11,0.414,1.6,4.3,0.364,3,6.7,0.447,0.486,1.9,2.7,0.733,0.7,3.4,4.2,3.7,0.8,0.2,1.6,2.4,12.6
269,Kira Lewis Jr.,PG,21,NOP,5,0,8.2,1.6,3.4,0.471,0.2,0.8,0.25,1.4,2.6,0.538,0.5,1.6,1.6,1,0.2,1,1.2,0.2,0.2,0,0.6,1,5
270,Damian Lillard,PG,32,POR,28,28,35.7,8.5,19.5,0.436,3.9,10.8,0.358,4.6,8.7,0.533,0.535,6.6,7.5,0.88,0.6,3.3,4,7.1,0.9,0.4,3.4,1.9,27.4
271,Nassir Little,PF,22,POR,21,0,15.3,2,4.3,0.473,0.8,2,0.372,1.3,2.3,0.563,0.56,0.7,1,0.667,0.3,2,2.4,0.9,0.4,0.1,0.7,0.8,5.5
272,Isaiah Livers,PF,24,DET,23,7,19.5,1.9,4.6,0.406,1.3,3.6,0.361,0.6,1,0.565,0.547,0.7,0.9,0.75,0.5,1.8,2.3,0.6,0.4,0.6,0.6,1.9,5.7
273,Kenneth Lofton Jr.,PF,20,MEM,6,0,4,1.2,2.5,0.467,0,0.3,0,1.2,2.2,0.538,0.467,0.2,0.5,0.333,0.2,0.5,0.7,0.7,0,0,0.2,0.5,2.5
274,Kevon Looney,C,26,GSW,41,41,23.3,2.7,4.3,0.624,0,0,,2.7,4.3,0.624,0.624,1.1,1.8,0.635,3,5.5,8.4,2.8,0.4,0.6,0.4,2.8,6.6
275,Brook Lopez,C,34,MIL,40,40,30.4,5.6,11,0.508,2,5,0.39,3.6,6,0.607,0.597,1.6,2,0.778,2.2,4.5,6.6,1.2,0.6,2.6,1.4,2.4,14.7
276,Robin Lopez,C,34,CLE,25,1,8.6,1.3,2,0.64,0,0,1,1.2,2,0.633,0.65,0.4,0.6,0.714,0.8,0.7,1.5,0.4,0,0.1,0.7,1.1,3
277,Kevin Love,PF,34,CLE,34,3,20.9,3,7.4,0.402,1.8,5.1,0.358,1.1,2.3,0.5,0.526,1.5,1.7,0.877,1,6.2,7.2,2,0.2,0.2,1.2,1.8,9.2
278,Kyle Lowry,PG,36,MIA,36,36,35,4.1,10.4,0.398,2.2,6.5,0.336,1.9,3.9,0.504,0.504,2.6,3,0.862,0.8,3.7,4.4,5.6,1.1,0.5,2.1,2.9,13.1
279,Trey Lyles,PF,27,SAC,34,0,14.7,2.2,5.1,0.442,1.1,3.2,0.361,1.1,1.9,0.578,0.555,1,1.3,0.756,1.1,2.6,3.6,0.8,0.3,0.5,0.9,1.1,6.6
